name;title;album;artist;genre;year;audio_format;track_duration;count_chanels;bitrate;sampling_rate;file_size
Battle Symphony - Linkin Park.mp3;Battle Symphony;One More Light;Linkin Park;Alternative Rock;2017;mp3;3 мин 36 сек;Стерео;320000;44100;8.27 MB
Believer - Imagine Dragons.flac;Hometown;;twenty one pilots;Alternative Rock;2015;flac;3 мин 24 сек;Моно;281767;22050;6.87 MB
Believer - Imagine Dragons.mp3;Believer;Evolve;Imagine Dragons;Alternative Rock;2017;mp3;3 мин 24 сек;Стерео;320000;44100;7.81 MB
Demons - Imagine Dragons.mp3;Demons;Night Visions;Imagine Dragons;Alternative Rock;2013;mp3;2 мин 57 сек;Стерео;320000;44100;6.8 MB
Finish Line - Skillet.aiff;Finish Line;Victorious: The Aftermath;Skillet;Alternative Rock;2019;aiff;3 мин 26 сек;Моно;352800;22050;8.68 MB
Finish Line - Skillet.mp3;Finish Line;Victorious: The Aftermath;Skillet;Alternative Rock;2019;mp3;3 мин 26 сек;Стерео;320000;44100;7.89 MB
Ho Ho Ho - Sia.mp3;Ho Ho Ho;Everyday Is Christmas;Sia;Pop;2017;mp3;3 мин 25 сек;Стерео;320000;44100;7.9 MB
Hometown - twenty one pilots.flac;Hometown;Blurryface;twenty one pilots;Alternative Rock;2015;flac;3 мин 54 сек;Моно;261637;22050;7.38 MB
Hometown - twenty one pilots.mp3;Hometown;Blurryface;twenty one pilots;Alternative Rock;2015;mp3;3 мин 54 сек;Стерео;320000;44100;9.02 MB
Last Christmas - Wham!.mp3;Last Christmas;Everything She Wants;Wham!;Pop;1984;mp3;4 мин 23 сек;Стерео;320000;44100;10.09 MB
Monster - Imagine Dragons.mp3;Monster;Smoke + Mirrors;Imagine Dragons;Alternative Rock;2013;mp3;4 мин 10 сек;Стерео;320000;44100;9.59 MB
Post Malone - Sunflower.mp3;Sunflower;Hollywood's Bleeding;Post Malone, Swae Lee;Pop;2018;mp3;2 мин 37 сек;Стерео;320000;44100;6.04 MB
Summer - Marshmello.mp3;Summer;Joytime;Marshmello;Electronic Music;2016;mp3;3 мин 53 сек;Стерео;320000;44100;9.62 MB
